,SIC,SIC Industry,2002 NAICS,NAICS Industry,SIC to NAICS Employment Ratio,SIC_clean
328,1770,Concrete work,238100,Building foundation and exterior contractors,62.4,
329,1770,Concrete work,238900,Other specialty trade contractors,37.3,
330,1780,Water well drilling,237100,Utility system construction,100.0,
331,1790,Miscellaneous special trade contractors,238900,Other specialty trade contractors,46.0,
332,1790,Miscellaneous special trade contractors,238100,Building foundation and exterior contractors,24.1,
338,2410,Logging,113300,Logging,99.8,
339,2420,Sawmills and planing mills,321100,Sawmills and wood preservation,66.2,
340,2420,Sawmills and planing mills,321900,Other wood products,25.6,
343,2430,"Millwork, plywood, and structural members",321900,Other wood products,36.4,
344,2430,"Millwork, plywood, and structural members",337100,Household and institutional furniture,31.9,
345,2430,"Millwork, plywood, and structural members",321200,Plywood and engineered wood products,29.4,
347,2440,Wood containers,321900,Other wood products,99.7,
348,2450,Wood buildings and mobile homes,321900,Other wood products,99.2,
349,2490,Miscellaneous wood products,321900,Other wood products,43.6,
350,2490,Miscellaneous wood products,321200,Plywood and engineered wood products,24.9,
354,2510,Household furniture,337100,Household and institutional furniture,84.3,
358,2520,Office furniture,337200,Office furniture and fixtures,99.2,
359,2530,Public building and related furniture,336300,Motor vehicle parts,58.0,
360,2530,Public building and related furniture,337100,Household and institutional furniture,33.6,
363,2540,Partitions and fixtures,337200,Office furniture and fixtures,84.3,
365,2590,Miscellaneous furniture and fixtures,337900,Other furniture-related products,59.2,
366,2590,Miscellaneous furniture and fixtures,337100,Household and institutional furniture,30.4,
369,3210,Flat glass,327200,Glass and glass products,96.1,
372,3220,"Glass and glassware, pressed or blown",327200,Glass and glass products,92.2,
376,3230,Products of purchased glass,327200,Glass and glass products,96.6,
378,3240,"Cement, hydraulic",327300,Cement and concrete products,94.2,
380,3250,Structural clay products,327100,Clay products and refractories,94.4,
382,3260,Pottery and related products,327100,Clay products and refractories,97.2,
385,3270,"Concrete, gypsum, and plaster products",327300,Cement and concrete products,87.2,
388,3280,Cut stone and stone products,327900,"Lime, gypsum, and other nonmetallic mineral products",98.9,
389,3290,Miscellaneous nonmetallic mineral products,327900,"Lime, gypsum, and other nonmetallic mineral products",70.8,
396,3310,Blast furnaces and basic steel products,331100,Iron and steel mills and ferroalloy production,59.8,
397,3310,Blast furnaces and basic steel products,331200,Steel products from purchased steel,31.9,
401,3320,Iron and steel foundries,331500,Foundries,98.5,
403,3330,Primary nonferrous metals,331300,Alumina and aluminum production,57.6,
404,3330,Primary nonferrous metals,331400,Other nonferrous metal production,41.8,
405,3340,Secondary nonferrous metals,331400,Other nonferrous metal production,56.4,
406,3340,Secondary nonferrous metals,331300,Alumina and aluminum production,41.6,
408,3350,Nonferrous rolling and drawing,331400,Other nonferrous metal production,38.9,
409,3350,Nonferrous rolling and drawing,331300,Alumina and aluminum production,37.5,
410,3350,Nonferrous rolling and drawing,335900,Other electrical equip. and components,20.8,
412,3360,Nonferrous foundries (castings),331500,Foundries,99.4,
413,3390,Miscellaneous primary metal products,332800,"Coating, engraving, and heat treating metals",73.3,
418,3410,Metal cans and shipping containers,332400,"Boilers, tanks, and shipping containers",96.9,
420,3420,"Cutlery, handtools, and hardware",332200,Cutlery and hand tools,46.3,
421,3420,"Cutlery, handtools, and hardware",332500,Hardware,39.0,
426,3430,"Plumbing and heating, except electric",332900,Other fabricated metal products,65.0,
427,3430,"Plumbing and heating, except electric",333400,HVAC and commercial refrigeration equip.,31.8,
429,3440,Fabricated structural metal products,332300,Architectural and structural metals,84.4,
433,3450,"Screw machine products, bolts, etc",332700,Machine shops and threaded products,98.4,
435,3460,Metal forgings and stampings,336300,Motor vehicle parts,48.2,
436,3460,Metal forgings and stampings,332100,Forging and stamping,46.9,
439,3470,"Metal services, nec",332800,"Coating, engraving, and heat treating metals",98.7,
441,3480,"Ordnance and accessories, nec",332900,Other fabricated metal products,99.8,
442,3490,Miscellaneous fabricated metal products,332900,Other fabricated metal products,61.6,
443,3490,Miscellaneous fabricated metal products,332600,Spring and wire products,25.9,
448,3510,Engines and turbines,333600,Turbine and power transmission equipment,88.2,
452,3520,Farm and garden machinery,333100,"Ag., construction, and mining machinery",87.5,
457,3530,Construction and related machinery,333100,"Ag., construction, and mining machinery",57.4,
458,3530,Construction and related machinery,333900,Other general purpose machinery,39.0,
460,3540,Metalworking machinery,333500,Metalworking machinery,82.5,
464,3550,Special industry machinery,333200,Industrial machinery,94.3,
467,3560,General industrial machinery,333900,Other general purpose machinery,52.7,
472,3570,Computer and office equipment,334100,Computer and peripheral equipment,84.1,
477,3580,Refrigeration and service machinery,333400,HVAC and commercial refrigeration equip.,60.4,
478,3580,Refrigeration and service machinery,333300,Commercial and service industry machinery,27.9,
481,3590,Miscellaneous industrial and commercial machinery,332700,Machine shops and threaded products,69.7,
487,3610,Electric distribution equipment,335300,Electrical equipment,96.9,
489,3620,Electrical industrial apparatus,335300,Electrical equipment,82.7,
492,3630,Household appliances,335200,Household appliances,92.4,
496,3640,Electric lighting and wiring equipment,335100,Electric lighting equipment,44.6,
497,3640,Electric lighting and wiring equipment,335900,Other electrical equip. and components,42.1,
500,3650,Household audio and video equipment,334300,Audio and video equipment,62.8,
501,3650,Household audio and video equipment,334600,Magnetic media mfg. and reproduction,22.6,
504,3660,Communications equipment,334200,Communications equipment,85.2,
508,3670,Electronic components and accessories,334400,Semiconductors and electronic components,95.6,
511,3690,Miscellaneous electrical equipment and supplies,336300,Motor vehicle parts,45.0,
512,3690,Miscellaneous electrical equipment and supplies,335900,Other electrical equip. and components,39.6,
517,3710,Motor vehicles and equipment,336300,Motor vehicle parts,49.6,
518,3710,Motor vehicles and equipment,336100,Motor vehicles,29.4,
523,3720,Aircraft and parts,336400,Aerospace products and parts,94.1,
526,3730,Ship and boat building and repairing,336600,Ship and boat building,90.9,
529,3740,Railroad equipment,336500,Railroad rolling stock,88.9,
532,3750,"Motorcycles, bicycles, and parts",336900,Other transportation equipment,98.7,
533,3760,"Guided missiles, space vehicles, and parts",336400,Aerospace products and parts,90.7,
537,3790,Miscellaneous transportation equipment,336200,Motor vehicle bodies and trailers,61.5,
538,3790,Miscellaneous transportation equipment,336900,Other transportation equipment,32.0,
541,3810,Search and navigation equipment,334500,Electronic instruments,98.3,
543,3820,Measuring and controlling devices,334500,Electronic instruments,84.4,
547,3840,Medical instruments and supplies,339100,Medical equipment and supplies,70.6,
548,3840,Medical instruments and supplies,334500,Electronic instruments,22.9,
552,3850,Ophthalmic goods,339100,Medical equipment and supplies,96.7,
554,3860,Photographic equipment and supplies,325900,Other chemical products and preparations,57.4,
555,3860,Photographic equipment and supplies,333300,Commercial and service industry machinery,34.3,
557,3870,"Watches, clocks, watchcases, and parts",334500,Electronic instruments,98.9,
559,3910,"Jewelry, silverware, and plated ware",339900,Other miscellaneous manufacturing,93.0,
563,3930,Musical instruments,339900,Other miscellaneous manufacturing,99.2,
564,3940,Toys and sporting goods,339900,Other miscellaneous manufacturing,94.5,
566,3950,"Pens, pencils, office, and art supplies",339900,Other miscellaneous manufacturing,97.0,
568,3960,Costume jewelry and notions,339900,Other miscellaneous manufacturing,96.1,
571,3990,Miscellaneous manufactures,339900,Other miscellaneous manufacturing,84.2,
576,2010,Meat products,311600,Animal slaughtering and processing,96.4,
579,2020,Dairy products,311500,Dairy products,92.8,
581,2030,Preserved fruits and vegetables,311400,Fruit and vegetable preserving and specialty,88.1,
584,2040,Grain mill products,311100,Animal food,43.2,
585,2040,Grain mill products,311200,Grain and oilseed milling,35.3,
590,2050,Bakery products,311800,Bakeries and tortilla manufacturing,95.0,
593,2060,Sugar and confectionery products,311300,Sugar and confectionery products,85.7,
596,2070,Fats and oils,311200,Grain and oilseed milling,66.2,
597,2070,Fats and oils,311600,Animal slaughtering and processing,25.9,
600,2080,Beverages,312100,Beverages,81.2,
604,2090,Miscellaneous food and kindred products,311900,Other food products,52.9,
605,2090,Miscellaneous food and kindred products,311700,Seafood product preparation and packaging,24.9,
610,2110,Cigarettes,312200,Tobacco and tobacco products,87.6,
612,2120,Cigars,312200,Tobacco and tobacco products,99.0,
613,2140,Other tobacco products,312200,Tobacco and tobacco products,94.8,
616,2210,"Broadwoven fabric mills, cotton",313200,Fabric mills,96.7,
618,2220,"Broadwoven fabric mills, synthetics",313200,Fabric mills,97.1,
620,2230,"Broadwoven fabric mills, wool",313200,Fabric mills,74.9,
623,2240,Narrow fabric mills,313200,Fabric mills,98.9,
624,2250,Knitting mills,315100,Apparel knitting mills,55.2,
625,2250,Knitting mills,313200,Fabric mills,22.3,
629,2260,"Textile finishing, except wool",313300,Textile and fabric finishing mills,97.8,
631,2270,Carpets and rugs,314100,Textile furnishings mills,86.1,
635,2280,Yarn and thread mills,313100,"Fiber, yarn, and thread mills",96.9,
637,2290,Miscellaneous textile goods,313200,Fabric mills,39.4,
638,2290,Miscellaneous textile goods,314900,Other textile product mills,34.9,
642,2310,Men's and boys' suits and coats,315200,Cut and sew apparel manufacturing,98.0,
644,2320,Men's and boys' furnishings,315200,Cut and sew apparel manufacturing,89.2,
648,2330,Women's and misses' outerwear,315200,Cut and sew apparel manufacturing,97.4,
651,2340,Women's and children's undergarments,315200,Cut and sew apparel manufacturing,90.8,
654,2350,"Hats, caps, and millinery",315900,Accessories and other apparel,78.5,
655,2350,"Hats, caps, and millinery",315200,Cut and sew apparel manufacturing,21.0,
656,2360,Girls' and children's outerwear,315200,Cut and sew apparel manufacturing,94.2,
659,2380,Fur goods and miscellaneous apparel and accessories,315200,Cut and sew apparel manufacturing,67.0,
660,2380,Fur goods and miscellaneous apparel and accessories,315900,Accessories and other apparel,29.4,
663,2390,Miscellaneous fabricated textile products,314100,Textile furnishings mills,30.8,
664,2390,Miscellaneous fabricated textile products,314900,Other textile product mills,28.9,
671,2610,Pulp mills,322100,"Pulp, paper, and paperboard mills",98.5,
673,2620,Paper mills,322100,"Pulp, paper, and paperboard mills",96.0,
675,2630,Paperboard mills,322100,"Pulp, paper, and paperboard mills",98.2,
677,2650,Paperboard containers and boxes,322200,Converted paper products,98.3,
679,2670,Miscellaneous converted paper products,322200,Converted paper products,79.0,
682,2710,Newspapers,511100,"Newspaper, book, and directory publishers",95.9,
684,2720,Periodicals,511100,"Newspaper, book, and directory publishers",96.1,
687,2730,Books,511100,"Newspaper, book, and directory publishers",63.0,
688,2730,Books,323000,Printing and related support activities,30.8,
692,2740,Miscellaneous publishing,511100,"Newspaper, book, and directory publishers",91.1,
696,2750,Commercial printing,323000,Printing and related support activities,99.2,
697,2760,Manifold business forms,323000,Printing and related support activities,93.7,
700,2770,Greeting cards,511100,"Newspaper, book, and directory publishers",65.7,
701,2770,Greeting cards,323000,Printing and related support activities,24.3,
704,2780,Blankbooks and bookbinding,323000,Printing and related support activities,96.9,
706,2790,Printing trade services,323000,Printing and related support activities,99.3,
707,2810,Industrial inorganic chemicals,325100,Basic chemicals,85.3,
711,2820,Plastics materials and synthetics,325200,"Resin, rubber, and artificial fibers",88.4,
715,2830,Drugs,325400,Pharmaceuticals and medicines,87.8,
719,2840,"Soap, cleaners, and toilet goods",325600,"Soaps, cleaning compounds, and toiletries",82.5,
721,2850,Paints and allied products,325500,"Paints, coatings, and adhesives",93.6,
724,2860,Industrial organic chemicals,325100,Basic chemicals,83.2,
728,2870,Agricultural chemicals,325300,Agricultural chemicals,93.8,
730,2890,Miscellaneous chemical products,325900,Other chemical products and preparations,52.0,
731,2890,Miscellaneous chemical products,325500,"Paints, coatings, and adhesives",30.9,
735,2910,Petroleum refining,324100,Petroleum and coal products,91.6,
737,2950,Asphalt paving and roofing materials,324100,Petroleum and coal products,96.3,
739,2990,Miscellaneous petroleum and coal products,324100,Petroleum and coal products,91.5,
741,3010,Tires and inner tubes,326200,Rubber products,99.1,
742,3020,Rubber and plastics footwear,316200,Footwear,79.4,
745,3050,"Hose, belting, gaskets, and packing",339900,Other miscellaneous manufacturing,57.5,
746,3050,"Hose, belting, gaskets, and packing",326200,Rubber products,40.8,
748,3060,"Fabricated rubber products, nec",326200,Rubber products,88.9,
753,3080,"Miscellaneous plastics products, nec",326100,Plastics products,93.0,
757,3110,Leather tanning and finishing,316900,"Leather and hide tanning and finishing, and other leather products",99.6,
758,3140,"Footwear cut stock and footwear, except rubber",316200,Footwear,91.6,
761,3160,Luggage,316900,"Leather and hide tanning and finishing, and other leather products",99.9,
762,3170,Handbags and personal leather goods,316900,"Leather and hide tanning and finishing, and other leather products",80.1,
767,3190,"Leather gloves and mittens and leather goods, nec",316900,"Leather and hide tanning and finishing, and other leather products",80.1,
770,4010,Railroad transportation,482000,Rail transportation,97.4,
772,4110,Local and suburban transportation,621900,Other ambulatory health care services,41.0,
773,4110,Local and suburban transportation,485900,Other ground passenger transportation,21.8,
778,4120,Taxicabs,485300,Taxi and limousine service,99.9,
779,4130,Intercity and rural bus transportation,485200,Interurban and rural bus transportation,94.3,
782,4150,School buses,485400,School and employee bus transportation,99.1,
783,4170,"Bus charter service, and bus terminal and service facilities",485500,Charter bus industry,94.5,
785,4210,"Trucking and courier services, except air",484100,General freight trucking,61.3,
786,4210,"Trucking and courier services, except air",484200,Specialized freight trucking,23.8,
789,4220,Public warehousing and storage,493000,Warehousing and storage,85.4,
791,4230,Trucking terminal facilities,488400,Support activities for road transportation,99.7,
792,4440,Water transportation of freight,483100,"Sea, coastal, and Great Lakes transportation",56.9,
793,4440,Water transportation of freight,483200,Inland water transportation,37.9,
795,4480,Water transportation of passengers,483100,"Sea, coastal, and Great Lakes transportation",48.7,
796,4480,Water transportation of passengers,487000,Scenic and sightseeing transportation,37.3,
799,4490,Water transportation services,488300,Support activities for water transportation,71.8,
805,4510,"Air transportation, scheduled",481100,Scheduled air transportation,53.6,
806,4510,"Air transportation, scheduled",492100,Couriers,42.5,
809,4520,"Air transportation, nonscheduled",481200,Nonscheduled air transportation,84.5,
813,4580,"Airports, flying fields, and services",488100,Support activities for air transportation,92.8,
815,4610,"Pipelines, except natural gas",486000,Pipeline transportation,95.6,
817,4720,Passenger transportation arrangement,561500,Travel arrangement and reservation services,98.1,
819,4730,Freight transportation arrangement,488500,Freight transportation arrangement,91.5,
822,4780,Other transportation services,488900,"Support activities for other transport., including rail",82.7,
827,4810,Telephone communications,517100,Wired telecommunications carriers,60.9,
831,4830,Radio and television broadcasting,515100,Radio and television broadcasting,99.2,
832,4840,Cable and other pay television services,517500,Cable and other program distribution,55.6,
833,4840,Cable and other pay television services,515200,Cable and other subscription programming,41.0,
836,4890,Other communications,517900,Satellite and other telecommunications,60.0,
837,4890,Other communications,517100,Wired telecommunications carriers,28.4,
840,4910,Electric services,221100,Power generation and supply,90.6,
842,4920,Gas production and distribution,221200,Natural gas distribution,69.8,
843,4920,Gas production and distribution,486000,Pipeline transportation,25.5,
845,4930,Combination utility services,221100,Power generation and supply,71.0,
846,4930,Combination utility services,221200,Natural gas distribution,20.6,
848,4950,Sanitary services,562200,Waste treatment and disposal,67.0,
854,4970,"Water, steam and air-conditioning supply, and irrigation systems",221300,"Water, sewage and other systems",95.8,
856,5010,"Motor vehicles, parts, and supplies",423100,Motor vehicle and parts,68.6,
861,5020,Furniture and home furnishings,423200,Furniture & furnishings,68.0,
866,5030,Lumber and other construction materials,423300,Lumber & const. supplies,79.0,
870,5040,Professional and commercial equipment,423400,Commercial equip.,75.1,
876,5050,"Metals and minerals, except petroleum",423500,Metals and minerals,90.0,
879,5060,Electrical goods,423600,Electric goods,72.7,
884,5070,"Hardware, plumbing, and heating equipment",423700,Hardware & plumbing,77.1,
888,5080,"Machinery, equipment, and supplies",423800,Machinery and supplies,86.5,
892,5090,Miscellaneous wholesale trade durable goods,423900,Miscellaneous durable goods,83.3,
897,5110,Paper and paper products,424100,Paper and paper products,64.8,
898,5110,Paper and paper products,453200,"Office supplies, stationery, and gift stores",20.1,
903,5120,"Drugs, proprietaries, and sundries",424200,Druggists' goods,72.7,
907,5130,"Apparel, piece goods, and notions",424300,Apparel & piece goods,72.2,
916,5140,Groceries and related products,424400,Grocery & related products,73.1,
923,5150,Farm-product raw materials,424500,Farm product raw materials,82.2,
927,5160,Chemicals and allied products,424600,Chemical,85.5,
930,5170,Petroleum and petroleum products,424700,Petroleum,79.6,
934,5180,"Beer, wine, and distilled beverages",424800,Alcoholic beverage,77.7,
938,5190,Miscellaneous wholesale trade nondurable goods,424900,Miscellaneous nondurable goods,70.1,
947,5210,Lumber and other building materials,444100,Building material and supplies dealers,97.7,
949,5230,"Paint, glass, and wallpaper stores",444100,Building material and supplies dealers,97.3,
951,5250,Hardware stores,444100,Building material and supplies dealers,98.4,
953,5260,Retail nurseries and garden stores,444200,Lawn and garden equipment and supplies stores,99.1,
954,5270,Mobile home dealers,453900,Other miscellaneous store retailers,99.1,
955,5310,Department stores,452100,Department stores,69.4,
956,5310,Department stores,452900,Other general merchandise stores,24.7,
959,5330,Variety stores,452900,Other general merchandise stores,95.3,
962,5390,Miscellaneous general merchandise stores,452900,Other general merchandise stores,95.5,
965,5410,Grocery stores,445100,Grocery stores,82.6,
970,5420,Meat and fish markets,445200,Specialty food stores,95.8,
972,5430,Fruit and vegetable markets,445200,Specialty food stores,97.2,
974,5440,"Candy, nut, and confectionery stores",445200,Specialty food stores,62.1,
975,5440,"Candy, nut, and confectionery stores",311300,Sugar and confectionery products,36.4,
977,5460,Retail bakeries,722200,Limited-service eating places,45.5,
978,5460,Retail bakeries,311800,Bakeries and tortilla manufacturing,36.9,
981,5490,Miscellaneous food stores,445200,Specialty food stores,55.3,
982,5490,Miscellaneous food stores,446000,Health and personal care stores,43.5,
984,5510,New and used car dealers,441100,Automobile dealers,99.5,
985,5520,Used car dealers,441100,Automobile dealers,99.9,
986,5530,Auto and home supply stores,441300,"Auto parts, accessories, and tire stores",94.4,
990,5540,Gasoline service stations,447000,Gasoline stations,97.6,
992,5550,Boat dealers,441200,Other motor vehicle dealers,99.8,
993,5560,Recreational vehicle dealers,441200,Other motor vehicle dealers,99.0,
994,5570,Motorcycle dealers,441200,Other motor vehicle dealers,99.8,
995,5590,"Automotive dealers, nec",441200,Other motor vehicle dealers,100.0,
996,5610,Men's and boys' clothing stores,448000,Clothing stores,97.8,
998,5620,Women's clothing stores,448000,Clothing stores,96.0,
1000,5630,Women's accessory and specialty stores,448000,Clothing stores,99.8,
1001,5640,Children's and infants' wear stores,448000,Clothing stores,98.1,
1003,5650,Family clothing stores,448000,Clothing stores,93.4,
1006,5660,Shoe stores,448200,Shoe stores,96.5,
1008,5690,Miscellaneous apparel and accessory stores,448000,Clothing stores,87.6,
1011,5710,Furniture and home furnishings stores,442100,Furniture stores,45.7,
1012,5710,Furniture and home furnishings stores,442200,Home furnishings stores,41.1,
1016,5720,Household appliance stores,443000,Electronics and appliance stores,97.9,
1018,5730,"Radio, television, and computer stores",443000,Electronics and appliance stores,69.9,
1023,5810,Eating and drinking places,722100,Full-service restaurants,46.9,
1024,5810,Eating and drinking places,722200,Limited-service eating places,41.3,
1027,5910,Drug stores and proprietary stores,446000,Health and personal care stores,97.2,
1030,5920,Liquor stores,445300,"Beer, wine, and liquor stores",99.5,
1031,5930,Used merchandise stores,453300,Used merchandise stores,79.9,
1034,5940,Miscellaneous shopping goods stores,451100,Sporting goods and musical instrument stores,34.7,
1035,5940,Miscellaneous shopping goods stores,453200,"Office supplies, stationery, and gift stores",31.6,
1041,5960,Nonstore retailers,454100,Electronic shopping and mail-order houses,63.9,
1046,5980,Fuel dealers,454300,Direct selling establishments,98.4,
1048,5990,"Retail stores, nec",453900,Other miscellaneous store retailers,42.4,
1049,5990,"Retail stores, nec",446000,Health and personal care stores,27.3,
1050,5990,"Retail stores, nec",453100,Florists,22.5,
1054,6010,Central reserve depositories,521000,Monetary authorities - central bank,89.1,
1057,6020,Commercial banks,522100,Depository credit intermediation,87.4,
1060,6030,Savings institutions,522100,Depository credit intermediation,91.3,
1062,6060,Credit unions,522100,Depository credit intermediation,93.2,
1064,6080,Foreign banks and branches and agencies,522100,Depository credit intermediation,59.7,
1065,6080,Foreign banks and branches and agencies,522200,Nondepository credit intermediation,36.9,
1068,6090,Functions closely related to banking,522300,Activities related to credit intermediation,77.6,
1072,6110,Federal and federally sponsored credit agencies,522200,Nondepository credit intermediation,99.0,
