SIC,SIC Industry,2002 NAICS,NAICS Industry,SIC to NAICS Employment Ratio
32-3000,Rubber and miscellaneous plastics products,31-339000,Miscellaneous manufacturing,5.5
32-3000,Rubber and miscellaneous plastics products,32-325000,Chemicals,2.7
32-3100,Leather and leather products,32-316000,Leather and allied products,91.8
32-3100,Leather and leather products,32-315000,Apparel,3.5
32-3100,Leather and leather products,60-550000,Management of companies & enterprises,2.6
32-3100,Leather and leather products,31-339000,Miscellaneous manufacturing,1.2
41-4000,Railroad transportation,43-482000,Rail transportation,97.4
41-4000,Railroad transportation,43-488000,Support activities for transportation,2.6
41-4100,Local and interurban passenger transit,43-485000,Transit and ground passenger transportation,78
41-4100,Local and interurban passenger transit,65-621000,Ambulatory health care services,19.6
41-4100,Local and interurban passenger transit,43-487000,Scenic and sightseeing transportation,1
41-4200,Trucking and warehousing,43-484000,Truck transportation,74.6
41-4200,Trucking and warehousing,43-493000,Warehousing and storage,10.2
41-4200,Trucking and warehousing,43-492000,Couriers and messengers,6.7
41-4200,Trucking and warehousing,60-562000,Waste management & remediation services,5.3
41-4200,Trucking and warehousing,55-531000,Real estate,1.6
41-4400,Water transportation,43-488000,Support activities for transportation,47.5
41-4400,Water transportation,43-483000,Water transportation,28.7
41-4400,Water transportation,70-713000,"Amusements, gambling, & recreation",12.8
41-4400,Water transportation,43-487000,Scenic and sightseeing transportation,4.7
41-4400,Water transportation,55-532000,Rental and leasing services,3.4
41-4400,Water transportation,60-550000,Management of companies & enterprises,1.9
41-4500,Transportation by air,43-481000,Air transportation,48.6
41-4500,Transportation by air,43-492000,Couriers and messengers,36
41-4500,Transportation by air,43-488000,Support activities for transportation,11
41-4500,Transportation by air,43-493000,Warehousing and storage,1.4
41-4500,Transportation by air,60-550000,Management of companies & enterprises,1.3
41-4600,"Pipelines, except natural gas",43-486000,Pipeline transportation,95.6
41-4600,"Pipelines, except natural gas",60-550000,Management of companies & enterprises,3.9
41-4700,Transportation services,43-488000,Support activities for transportation,49.7
41-4700,Transportation services,60-561000,Administrative and support services,45.6
41-4700,Transportation services,60-540000,Professional and technical services,2.6
41-4700,Transportation services,60-550000,Management of companies & enterprises,1.2
42-4800,Communications,50-517000,Telecommunications,76.5
42-4800,Communications,50-515000,"Broadcasting, except Internet",20
42-4800,Communications,60-550000,Management of companies & enterprises,2.1
42-4900,"Electric, gas, and sanitary services",44-220000,Utilities,70.1
42-4900,"Electric, gas, and sanitary services",60-562000,Waste management & remediation services,18.1
42-4900,"Electric, gas, and sanitary services",60-550000,Management of companies & enterprises,5.7
42-4900,"Electric, gas, and sanitary services",43-486000,Pipeline transportation,3.8
42-4900,"Electric, gas, and sanitary services",60-561000,Administrative and support services,1.2
52-5000,"Wholesale trade, durable goods",41-423000,Durable goods,77.6
52-5000,"Wholesale trade, durable goods",41-425000,Electronic markets and agents and brokers,9.6
52-5000,"Wholesale trade, durable goods",42-444000,Building material & garden supply stores,3.1
52-5000,"Wholesale trade, durable goods",42-441000,Motor vehicle and parts dealers,2.3
52-5000,"Wholesale trade, durable goods",42-443000,Electronics and appliance stores,1.9
52-5000,"Wholesale trade, durable goods",60-550000,Management of companies & enterprises,1.5
52-5000,"Wholesale trade, durable goods",42-453000,Miscellaneous store retailers,1.2
53-5100,"Wholesale trade, nondurable goods",41-424000,Nondurable goods,73.6
53-5100,"Wholesale trade, nondurable goods",41-425000,Electronic markets and agents and brokers,7.7
53-5100,"Wholesale trade, nondurable goods",42-445000,Food and beverage stores,5.2
53-5100,"Wholesale trade, nondurable goods",42-453000,Miscellaneous store retailers,3.1
53-5100,"Wholesale trade, nondurable goods",60-550000,Management of companies & enterprises,2.3
53-5100,"Wholesale trade, nondurable goods",42-444000,Building material & garden supply stores,1.6
53-5100,"Wholesale trade, nondurable goods",42-446000,Health and personal care stores,1.3
53-5100,"Wholesale trade, nondurable goods",43-493000,Warehousing and storage,1
53-5100,"Wholesale trade, nondurable goods",60-540000,Professional and technical services,1
60-5200,Building materials and garden supplies,42-444000,Building material & garden supply stores,94.2
60-5200,Building materials and garden supplies,42-453000,Miscellaneous store retailers,3.8
60-5200,Building materials and garden supplies,60-550000,Management of companies & enterprises,1.3
60-5300,General merchandise stores,42-452000,General merchandise stores,94.3
60-5300,General merchandise stores,43-493000,Warehousing and storage,2.8
60-5300,General merchandise stores,60-550000,Management of companies & enterprises,2.3
60-5400,Food stores,42-445000,Food and beverage stores,77.9
60-5400,Food stores,42-447000,Gasoline stations,8.5
60-5400,Food stores,70-722000,Food services and drinking places,2.9
60-5400,Food stores,42-452000,General merchandise stores,2.9
60-5400,Food stores,32-311000,Food manufacturing,2.4
60-5400,Food stores,60-550000,Management of companies & enterprises,2.2
60-5400,Food stores,43-493000,Warehousing and storage,1.6
60-5400,Food stores,42-446000,Health and personal care stores,1.2
60-5500,Automotive dealers and service stations,42-441000,Motor vehicle and parts dealers,72.2
60-5500,Automotive dealers and service stations,42-447000,Gasoline stations,26
60-5500,Automotive dealers and service stations,60-550000,Management of companies & enterprises,1
60-5600,Apparel and accessory stores,42-448000,Clothing and clothing accessories stores,95.1
60-5600,Apparel and accessory stores,60-550000,Management of companies & enterprises,2.9
60-5700,Furniture and home furnishings stores,42-442000,Furniture and home furnishings stores,44
60-5700,Furniture and home furnishings stores,42-443000,Electronics and appliance stores,36.3
60-5700,Furniture and home furnishings stores,42-451000,"Sporting goods, hobby, book & music stores",9.7
60-5700,Furniture and home furnishings stores,31-337000,Furniture and related products,4
60-5700,Furniture and home furnishings stores,60-550000,Management of companies & enterprises,2.3
60-5700,Furniture and home furnishings stores,42-441000,Motor vehicle and parts dealers,1.7
60-5700,Furniture and home furnishings stores,43-493000,Warehousing and storage,1
60-5800,Eating and drinking places,70-722000,Food services and drinking places,98.9
60-5900,Miscellaneous retail establishments,42-446000,Health and personal care stores,27.1
60-5900,Miscellaneous retail establishments,42-453000,Miscellaneous store retailers,26.4
60-5900,Miscellaneous retail establishments,42-451000,"Sporting goods, hobby, book & music stores",17.2
60-5900,Miscellaneous retail establishments,42-454000,Nonstore retailers,15.1
60-5900,Miscellaneous retail establishments,42-448000,Clothing and clothing accessories stores,5.5
60-5900,Miscellaneous retail establishments,42-445000,Food and beverage stores,3.6
60-5900,Miscellaneous retail establishments,42-443000,Electronics and appliance stores,1.5
60-5900,Miscellaneous retail establishments,60-550000,Management of companies & enterprises,1.4
71-6000,Depository institutions,55-522000,Credit intermediation & related activities,90.1
71-6000,Depository institutions,60-550000,Management of companies & enterprises,6.3
71-6000,Depository institutions,55-523000,"Securities, commodity contracts, investments",1.2
71-6000,Depository institutions,55-521000,Monetary authorities - central bank,1.1
71-6000,Depository institutions,60-540000,Professional and technical services,1
71-6100,Nondepository institutions,55-522000,Credit intermediation & related activities,97.7
71-6100,Nondepository institutions,60-550000,Management of companies & enterprises,1.5
71-6200,Security and commodity brokers,55-523000,"Securities, commodity contracts, investments",97.6
71-6200,Security and commodity brokers,60-550000,Management of companies & enterprises,2.3
71-6700,Holding and other investment offices,60-550000,Management of companies & enterprises,43.6
71-6700,Holding and other investment offices,80-813000,Membership associations & organizations,16.2
71-6700,Holding and other investment offices,55-525000,"Funds, trusts, & other financial vehicles",15.8
71-6700,Holding and other investment offices,55-523000,"Securities, commodity contracts, investments",12.7
71-6700,Holding and other investment offices,55-533000,Lessors of nonfinancial intangible assets,11.4
72-6300,Insurance carriers,55-524000,Insurance carriers and related activities,91
72-6300,Insurance carriers,60-550000,Management of companies & enterprises,4
72-6300,Insurance carriers,55-525000,"Funds, trusts, & other financial vehicles",3.2
72-6400,"Insurance agents, brokers, and services",55-524000,Insurance carriers and related activities,99.4
73-6500,Real estate,55-531000,Real estate,85.2
73-6500,Real estate,20-237000,Heavy and civil engineering construction,5.7
73-6500,Real estate,60-540000,Professional and technical services,2.9
73-6500,Real estate,80-812000,Personal and laundry services,2.3
73-6500,Real estate,80-813000,Membership associations & organizations,1.9
73-6500,Real estate,60-550000,Management of companies & enterprises,1.5
80-0700,Agricultural services,60-561000,Administrative and support services,58.2
80-0700,Agricultural services,60-540000,Professional and technical services,33.7
80-0700,Agricultural services,80-812000,Personal and laundry services,4.2
80-7000,Hotels and other lodging places,70-721000,Accommodations,98.9
80-7200,Personal services,80-812000,Personal and laundry services,76.9
80-7200,Personal services,60-540000,Professional and technical services,16
80-7200,Personal services,60-561000,Administrative and support services,3.4
80-7200,Personal services,55-532000,Rental and leasing services,1.4
80-7300,Business services,60-561000,Administrative and support services,64.4
80-7300,Business services,60-540000,Professional and technical services,20.7
80-7300,Business services,50-518000,"ISPs, search portals, & data processing",5.2
80-7300,Business services,50-511000,"Publishing industries, except Internet",3.1
80-7300,Business services,55-532000,Rental and leasing services,2.6
80-7500,"Auto repair, services, and parking",80-811000,Repair and maintenance,71.4
80-7500,"Auto repair, services, and parking",55-532000,Rental and leasing services,16.6
80-7500,"Auto repair, services, and parking",80-812000,Personal and laundry services,6.3
80-7500,"Auto repair, services, and parking",43-488000,Support activities for transportation,3.5
80-7500,"Auto repair, services, and parking",60-550000,Management of companies & enterprises,1.2
80-7600,Miscellaneous repair services,80-811000,Repair and maintenance,77.9
80-7600,Miscellaneous repair services,60-561000,Administrative and support services,5.8
80-7600,Miscellaneous repair services,60-562000,Waste management & remediation services,4.9
80-7600,Miscellaneous repair services,42-443000,Electronics and appliance stores,4
80-7600,Miscellaneous repair services,42-444000,Building material & garden supply stores,1.9
80-7600,Miscellaneous repair services,42-442000,Furniture and home furnishings stores,1.6
80-7600,Miscellaneous repair services,20-238000,Specialty trade contractors,1.2
80-7800,Motion pictures,50-512000,Motion picture and sound recording industries,59.4
80-7800,Motion pictures,55-532000,Rental and leasing services,27.7
80-7800,Motion pictures,60-540000,Professional and technical services,7.5
80-7800,Motion pictures,31-334000,Computer and electronic products,1.9
80-7800,Motion pictures,70-711000,Performing arts and spectator sports,1.1
80-7900,Amusement and recreation services,70-713000,"Amusements, gambling, and recreation",72.6
80-7900,Amusement and recreation services,70-711000,Performing arts and spectator sports,18.7
80-7900,Amusement and recreation services,65-610000,Educational services,4.5
80-7900,Amusement and recreation services,60-561000,Administrative and support services,1.1
80-8000,Health services,65-621000,Ambulatory health care services,41.8
80-8000,Health services,65-622000,Hospitals,38.8
80-8000,Health services,65-623000,Nursing and residential care facilities,17.7
80-8000,Health services,60-550000,Management of companies & enterprises,1
80-8100,Legal services,60-540000,Professional and technical services,99.2
80-8200,Educational services,65-610000,Educational services,97.5
80-8200,Educational services,50-519000,Other information services,1.4
80-8200,Educational services,60-550000,Management of companies & enterprises,1.1
80-8300,Social services,65-624000,Social assistance,62.8
80-8300,Social services,65-623000,Nursing and residential care facilities,28
80-8300,Social services,80-813000,Membership associations & organizations,7.1
80-8300,Social services,60-550000,Management of companies & enterprises,2
80-8400,Museums and botanical and zoological gardens,70-712000,"Museums, historical sites, zoos, and parks",99.4
80-8600,Membership organizations,80-813000,Membership associations & organizations,95.7
80-8600,Membership organizations,60-561000,Administrative and support services,3.1
80-8600,Membership organizations,60-550000,Management of companies & enterprises,1.1
80-8700,Engineering and management services,60-540000,Professional and technical services,87.3
80-8700,Engineering and management services,60-561000,Administrative and support services,10
80-8700,Engineering and management services,20-236000,Construction of buildings,1.1
80-8900,"Services, nec",60-540000,Professional and technical services,53.2
80-8900,"Services, nec",70-711000,Performing arts and spectator sports,26.3
80-8900,"Services, nec",50-512000,Motion picture and sound recording industries,7.3
80-8900,"Services, nec",50-519000,Other information services,5.3
80-8900,"Services, nec",50-518000,"ISPs, search portals, & data processing",4.4
80-8900,"Services, nec",50-516000,Internet publishing and broadcasting,3.1
10-1010,Iron ores,10-212200,Metal ore mining,100
10-1020,Copper ores,10-212200,Metal ore mining,97.2
10-1020,Copper ores,60-550000,Management of companies and enterprises,2.8
10-1030,Lead and zinc ores,10-212200,Metal ore mining,100
10-1040,Gold and silver ores,10-212200,Metal ore mining,97.5
10-1040,Gold and silver ores,60-550000,Management of companies and enterprises,2.4
10-1090,Other metal ores and mining services,10-212200,Metal ore mining,66.1
10-1090,Other metal ores and mining services,10-213000,Support activities for mining,24.3
10-1090,Other metal ores and mining services,20-238900,Other specialty trade contractors,7.2
10-1090,Other metal ores and mining services,60-550000,Management of companies and enterprises,1.3
10-1090,Other metal ores and mining services,60-541300,Architectural and engineering services,1.1
10-1220,Bituminous coal and lignite mining,10-212100,Coal mining,98
10-1220,Bituminous coal and lignite mining,60-550000,Management of companies and enterprises,1.9
10-1240,Anthracite mining and coal mining services,10-213000,Support activities for mining,59.1
10-1240,Anthracite mining and coal mining services,20-238900,Other specialty trade contractors,22.1
10-1240,Anthracite mining and coal mining services,10-212100,Coal mining,16.9
10-1240,Anthracite mining and coal mining services,60-550000,Management of companies and enterprises,1.3
10-1310,Crude petroleum and natural gas,10-211000,Oil and gas extraction,95.9
10-1310,Crude petroleum and natural gas,60-550000,Management of companies and enterprises,2.9
10-1310,Crude petroleum and natural gas,60-541200,Accounting and bookkeeping services,1.2
10-1320,Natural gas liquids,10-211000,Oil and gas extraction,99.7
10-1380,Oil and gas field services,10-213000,Support activities for mining,89.9
10-1380,Oil and gas field services,20-238900,Other specialty trade contractors,6.2
10-1380,Oil and gas field services,60-541300,Architectural and engineering services,1.8
10-1380,Oil and gas field services,20-237100,Utility system construction,1.4
10-1420,Crushed and broken stone,10-212300,Nonmetallic mineral mining and quarrying,95
10-1420,Crushed and broken stone,60-550000,Management of companies and enterprises,4.3
10-1440,Sand and gravel,10-212300,Nonmetallic mineral mining and quarrying,97.4
10-1440,Sand and gravel,60-550000,Management of companies and enterprises,1.8
10-1450,"Clay, ceramic, and refractory minerals",10-212300,Nonmetallic mineral mining and quarrying,90.9
10-1450,"Clay, ceramic, and refractory minerals",60-550000,Management of companies and enterprises,6.3
10-1450,"Clay, ceramic, and refractory minerals",60-561400,Business support services,1.9
10-1470,Chemical and fertilizer minerals,10-212300,Nonmetallic mineral mining and quarrying,99.1
10-1490,Dimension stone and other nonmetallic minerals,10-212300,Nonmetallic mineral mining and quarrying,88.1
10-1490,Dimension stone and other nonmetallic minerals,10-213000,Support activities for mining,8.1
10-1490,Dimension stone and other nonmetallic minerals,60-550000,Management of companies and enterprises,1.5
20-1520,Residential building,20-236100,Residential building,97.9
20-1520,Residential building,20-236200,Nonresidential building,1.8
20-1530,Operative builders,20-236100,Residential building,85.1
20-1530,Operative builders,20-236200,Nonresidential building,11.4
20-1530,Operative builders,60-561400,Business support services,1.8
20-1530,Operative builders,60-550000,Management of companies and enterprises,1.5
20-1540,Nonresidential building,20-236200,Nonresidential building,99.1
20-1610,Highway and street construction,20-237300,"Highway, street, and bridge construction",98.3
20-1610,Highway and street construction,60-550000,Management of companies and enterprises,1.5
20-1620,"Heavy construction, except highway",20-237100,Utility system construction,58.6
20-1620,"Heavy construction, except highway",20-237900,Other heavy construction,15.4
20-1620,"Heavy construction, except highway",20-236200,Nonresidential building,13.7
20-1620,"Heavy construction, except highway",20-237300,"Highway, street, and bridge construction",8
20-1620,"Heavy construction, except highway",20-238900,Other specialty trade contractors,3.8
20-1710,"Plumbing, heating, and air conditioning",20-238200,Building equipment contractors,98.4
20-1710,"Plumbing, heating, and air conditioning",20-238900,Other specialty trade contractors,1.2
20-1720,Painting and paper hanging,20-238300,Building finishing contractors,97
20-1720,Painting and paper hanging,20-237300,"Highway, street, and bridge construction",2.9
20-1730,Electrical work,20-238200,Building equipment contractors,99.3
20-1740,"Masonry, stonework, and plastering",20-238300,Building finishing contractors,65.4
20-1740,"Masonry, stonework, and plastering",20-238100,Building foundation and exterior contractors,34.2
20-1750,Carpentry and floor work,20-238300,Building finishing contractors,63.3
20-1750,Carpentry and floor work,20-238100,Building foundation and exterior contractors,36.6
20-1760,"Roofing, siding, and sheet metal work",20-238100,Building foundation and exterior contractors,86.6
20-1760,"Roofing, siding, and sheet metal work",20-238300,Building finishing contractors,13.3
20-1770,Concrete work,20-238100,Building foundation and exterior contractors,62.4
20-1770,Concrete work,20-238900,Other specialty trade contractors,37.3
20-1780,Water well drilling,20-237100,Utility system construction,100
20-1790,Miscellaneous special trade contractors,20-238900,Other specialty trade contractors,46
20-1790,Miscellaneous special trade contractors,20-238100,Building foundation and exterior contractors,24.1
20-1790,Miscellaneous special trade contractors,20-238200,Building equipment contractors,15.8
20-1790,Miscellaneous special trade contractors,60-562900,Remediation and other waste services,4.8
20-1790,Miscellaneous special trade contractors,20-238300,Building finishing contractors,4.8
20-1790,Miscellaneous special trade contractors,20-237900,Other heavy construction,2.3
20-1790,Miscellaneous special trade contractors,20-236200,Nonresidential building,1.3
31-2410,Logging,10-113300,Logging,99.8
31-2420,Sawmills and planing mills,31-321100,Sawmills and wood preservation,66.2
31-2420,Sawmills and planing mills,31-321900,Other wood products,25.6
31-2420,Sawmills and planing mills,31-337200,Office furniture and fixtures,4.8
31-2420,Sawmills and planing mills,60-550000,Management of companies and enterprises,3.1
31-2430,"Millwork, plywood, and structural members",31-321900,Other wood products,36.4
31-2430,"Millwork, plywood, and structural members",31-337100,Household and institutional furniture,31.9
31-2430,"Millwork, plywood, and structural members",31-321200,Plywood and engineered wood products,29.4
31-2430,"Millwork, plywood, and structural members",60-550000,Management of companies and enterprises,2.2
31-2440,Wood containers,31-321900,Other wood products,99.7
31-2450,Wood buildings and mobile homes,31-321900,Other wood products,99.2
31-2490,Miscellaneous wood products,31-321900,Other wood products,43.6
31-2490,Miscellaneous wood products,31-321200,Plywood and engineered wood products,24.9
31-2490,Miscellaneous wood products,31-321100,Sawmills and wood preservation,15.2
31-2490,Miscellaneous wood products,31-339900,Other miscellaneous manufacturing,13.4
31-2490,Miscellaneous wood products,60-550000,Management of companies and enterprises,1.1
31-2510,Household furniture,31-337100,Household and institutional furniture,84.3
31-2510,Household furniture,31-337900,Other furniture-related products,11.3
31-2510,Household furniture,31-337200,Office furniture and fixtures,1.2
31-2510,Household furniture,60-550000,Management of companies and enterprises,2.3
31-2520,Office furniture,31-337200,Office furniture and fixtures,99.2
31-2530,Public building and related furniture,31-336300,Motor vehicle parts,58
31-2530,Public building and related furniture,31-337100,Household and institutional furniture,33.6
31-2530,Public building and related furniture,31-339900,Other miscellaneous manufacturing,4.5
31-2530,Public building and related furniture,60-550000,Management of companies and enterprises,3.5
31-2540,Partitions and fixtures,31-337200,Office furniture and fixtures,84.3
31-2540,Partitions and fixtures,31-337100,Household and institutional furniture,15.5
31-2590,Miscellaneous furniture and fixtures,31-337900,Other furniture-related products,59.2
31-2590,Miscellaneous furniture and fixtures,31-337100,Household and institutional furniture,30.4
31-2590,Miscellaneous furniture and fixtures,31-339100,Medical equipment and supplies,5.7
31-2590,Miscellaneous furniture and fixtures,60-550000,Management of companies and enterprises,4.6
31-3210,Flat glass,31-327200,Glass and glass products,96.1
31-3210,Flat glass,60-550000,Management of companies and enterprises,2.6
31-3210,Flat glass,60-541500,Computer systems design and related services,1.3
31-3220,"Glass and glassware, pressed or blown",31-327200,Glass and glass products,92.2
31-3220,"Glass and glassware, pressed or blown",60-541700,Scientific research and development services,2.9
31-3220,"Glass and glassware, pressed or blown",60-550000,Management of companies and enterprises,2.7
31-3220,"Glass and glassware, pressed or blown",60-541300,Architectural and engineering services,1.2
31-3230,Products of purchased glass,31-327200,Glass and glass products,96.6
31-3230,Products of purchased glass,60-550000,Management of companies and enterprises,3.1
31-3240,"Cement, hydraulic",31-327300,Cement and concrete products,94.2
31-3240,"Cement, hydraulic",60-550000,Management of companies and enterprises,5.2
31-3250,Structural clay products,31-327100,Clay products and refractories,94.4
31-3250,Structural clay products,60-550000,Management of companies and enterprises,4.9
31-3260,Pottery and related products,31-327100,Clay products and refractories,97.2
31-3260,Pottery and related products,60-541500,Computer systems design and related services,1.3
31-3260,Pottery and related products,60-550000,Management of companies and enterprises,1
31-3270,"Concrete, gypsum, and plaster products",31-327300,Cement and concrete products,87.2
31-3270,"Concrete, gypsum, and plaster products",31-327900,"Lime, gypsum, and other nonmetallic mineral products",10.1
31-3270,"Concrete, gypsum, and plaster products",60-550000,Management of companies and enterprises,2
31-3280,Cut stone and stone products,31-327900,"Lime, gypsum, and other nonmetallic mineral products",98.9
31-3290,Miscellaneous nonmetallic mineral products,31-327900,"Lime, gypsum, and other nonmetallic mineral products",70.8
31-3290,Miscellaneous nonmetallic mineral products,31-327100,Clay products and refractories,13
31-3290,Miscellaneous nonmetallic mineral products,10-212300,Nonmetallic mineral mining and quarrying,8.9
31-3290,Miscellaneous nonmetallic mineral products,31-332900,Other fabricated metal products,1.9
31-3290,Miscellaneous nonmetallic mineral products,60-550000,Management of companies and enterprises,1.5
31-3290,Miscellaneous nonmetallic mineral products,31-336300,Motor vehicle parts,1.3
31-3290,Miscellaneous nonmetallic mineral products,60-541700,Scientific research and development services,1.2
31-3310,Blast furnaces and basic steel products,31-331100,Iron and steel mills and ferroalloy production,59.8
31-3310,Blast furnaces and basic steel products,31-331200,Steel products from purchased steel,31.9
31-3310,Blast furnaces and basic steel products,31-332600,Spring and wire products,3
31-3310,Blast furnaces and basic steel products,60-550000,Management of companies and enterprises,2.7
31-3310,Blast furnaces and basic steel products,32-324100,Petroleum and coal products,2.3
31-3320,Iron and steel foundries,31-331500,Foundries,98.5
31-3320,Iron and steel foundries,60-550000,Management of companies and enterprises,1.4
31-3330,Primary nonferrous metals,31-331300,Alumina and aluminum production,57.6
31-3330,Primary nonferrous metals,31-331400,Other nonferrous metal production,41.8
31-3340,Secondary nonferrous metals,31-331400,Other nonferrous metal production,56.4
31-3340,Secondary nonferrous metals,31-331300,Alumina and aluminum production,41.6
31-3340,Secondary nonferrous metals,60-550000,Management of companies and enterprises,1.7
